100,Namakkal,Paramathivelur Regulated Market,NADP,25,2014-15
101,Madurai,Thirumangalam,NMSA,25,2014-15
102,Vellore,Jolarpettai,NMSA,25,2012-13
103,Ramanathapuram,Ettivayal,NMSA,2000,2015-16
104,Namakkal,Thiruchengodu,NADP,25,2015-16
105,Trichy,Kallikudi,NADP,2000,2015-16
106,Cuddalore,Panruti,NADP,25,2016
107,Thirunelveli,Ambasamudiram,NADP,200,2016
108,Thanjavur,Valappakudi,NMSA,100,2014-15
109,Namakkal,Mohanur,NADP,5,2010-11
110,Trichy,Anna Nagar,NADP,5,2010-11
111,Dharmapuri,Hosur II,NADP,50,2014-15
